,title,subtitle,link
49,RAF JUSTICE,Napoli ‘could SACK Spalletti despite title triumph with Benitez lined up',https://www.thesun.co.uk/sport/22415742/napoli-sack-luciano-spalletti-rafa-benitez-replacement/
50,BREACH FOR THE STARS,Who is Jules Breach and what football team does she support?,https://www.thesun.co.uk/sport/21954416/who-is-jules-breach-what-football-team-does-support/
51,ONE OF A KIND,Gareth Bale celebrates wildly after nailing his first ever hole-in-one,https://www.thesun.co.uk/sport/22398546/gareth-bale-golf-hole-in-one-celebrate-wildly/
52,FIGHT NIGHT,Watch TWO huge brawls break out at end of cup final as four stars are sent off,https://www.thesun.co.uk/sport/22393197/indonesia-thailand-brawl/
53,YOUNG GUNS,Seven stars to watch at U20 World Cup such as Man Utd target and Prem hero's son,https://www.thesun.co.uk/sport/22402938/stars-u20-world-cup-garnacho-man-utd/
54,TECH MATE,Who would win between Man Utd treble winners and Man City revealed by AI,https://www.thesun.co.uk/sport/22406482/man-utd-city-treble-ai-chatgpt/
55,SLOT GONNA HAPPEN,Spurs suffer blow in bid to land Arne Slot as his assistant speaks out,https://www.thesun.co.uk/sport/22399994/spurs-slot-assistant-rules-out-joining-tottenham/
56,DEC-KERS,Arsenal ‘preparing opening proposal’ for Rice but won’t start transfer talks yet,https://www.thesun.co.uk/sport/22412704/arsenal-transfer-rice-proposal-wont-start-talks/
57,MAN HANDLED,Man City challenge 115 PL charges and fume ARSENAL fan barrister leading case,https://www.thesun.co.uk/sport/22404205/man-city-challenge-premier-league-charges-arsenal-fan/
58,CROWN JUL,Nagelsmann's agent in swipe at Chelsea & reveals Pochettino was NOT first choice,https://www.thesun.co.uk/sport/22384325/chelsea-julian-nagelsmann-mauricio-pochettino-agent-swipe/
59,MOY OH MOY,Van Persie opens up on Moyes' ill-fated Man Utd spell and hails West Ham boss,https://www.thesun.co.uk/sport/22409404/van-persie-moyes-man-utd-west-ham-final/
60,THE RIGHT TONE,Brentford open contract talks with Ivan Toney despite 8-month ban,https://www.thesun.co.uk/sport/22408010/brentford-contract-ivan-toney-transfer/
61,PITCH IN,We live in former Premier League stadium - we love it but there's a catch,https://www.thesun.co.uk/sport/22327186/living-in-old-football-stadium-highbury/
62,BIGGER BOEHL,Chelsea prepare to buy stake in Ligue 1 club in step towards Man City model,https://www.thesun.co.uk/sport/22409504/chelsea-strasbourg-boehly-multi-club-model/
63,UN-BAR-LIEVABLE,Man Utd wanted Ronaldo to go to Barca over Real - meaning Messi link-up,https://www.thesun.co.uk/sport/football/11426105/man-utd-cristiano-ronaldo-messi-barcelona/
64,OUT FOXED,Newcastle eye double transfer raid on Leicester for Maddison and Barnes,https://www.thesun.co.uk/sport/22404812/newcastle-transfer-leicester-james-maddison-harvey-barnes/
65,GON-NA TRY,Man Utd 'leading Goncalo Ramos race as Benfica make contact with replacement',https://www.thesun.co.uk/sport/22398709/man-utd-transfer-goncalo-ramos-benfica/
66,RED MIST,Liverpool boss Jurgen Klopp BANNED for two games after Tottenham antics,https://www.thesun.co.uk/sport/22404767/liverpool-jurgen-klopp-banned-tottenham/
67,LOFT-Y AIM,Loftus-Cheek in 'concrete talks' over huge transfer & could join ex-Chelsea pals,https://www.thesun.co.uk/sport/22406560/ruben-loftus-cheek-talks-transfer-chelsea/
68,UNITED LATEST,"Jassim submits 'late bid' for 100%, Rashford blow, Phil Jones LEAVES United",https://www.thesun.co.uk/sport/22225256/man-utd-takeover-news-live-transfer-sheikh-jassim-bid/
